Title,Year,Conference
Dual Cross-Attention Learning for Fine-Grained Visual Categorization and Object Re-Identification,2022,cvpr
SimAN: Exploring Self-Supervised Representation Learning of Scene Text via Similarity-Aware Normalization,2022,cvpr
"GASP, a Generalized Framework for Agglomerative Clustering of Signed Graphs and Its Application to Instance Segmentation",2022,cvpr
Estimating Example Difficulty Using Variance of Gradients,2022,cvpr
One Loss for Quantization: Deep Hashing With Discrete Wasserstein Distributional Matching,2022,cvpr
Pixel Screening Based Intermediate Correction for Blind Deblurring,2022,cvpr
Weakly Supervised Semantic Segmentation by Pixel-to-Prototype Contrast,2022,cvpr
Controllable Animation of Fluid Elements in Still Images,2022,cvpr
Holocurtains: Programming Light Curtains via Binary Holography,2022,cvpr
Recurrent Dynamic Embedding for Video Object Segmentation,2022,cvpr
Deep Hierarchical Semantic Segmentation,2022,cvpr
f-SfT: Shape-From-Template With a Physics-Based Deformation Model,2022,cvpr
Continual Object Detection via Prototypical Task Correlation Guided Gating Mechanism,2022,cvpr
DATA: Domain-Aware and Task-Aware Self-Supervised Learning,2022,cvpr
TWIST: Two-Way Inter-Label Self-Training for Semi-Supervised 3D Instance Segmentation,2022,cvpr
Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection From Point Clouds,2022,cvpr
Learning Adaptive Warping for Real-World Rolling Shutter Correction,2022,cvpr
Siamese Contrastive Embedding Network for Compositional Zero-Shot Learning,2022,cvpr
Bongard-HOI: Benchmarking Few-Shot Visual Reasoning for Human-Object Interactions,2022,cvpr
RIM-Net: Recursive Implicit Fields for Unsupervised Learning of Hierarchical Shape Structures,2022,cvpr
Do Learned Representations Respect Causal Relationships?,2022,cvpr
ZebraPose: Coarse To Fine Surface Encoding for 6DoF Object Pose Estimation,2022,cvpr
ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic,2022,cvpr
Learning To Affiliate: Mutual Centralized Learning for Few-Shot Classification,2022,cvpr
CAPRI-Net: Learning Compact CAD Shapes With Adaptive Primitive Assembly,2022,cvpr
ATPFL: Automatic Trajectory Prediction Model Design Under Federated Learning Framework,2022,cvpr
Revisiting Learnable Affines for Batch Norm in Few-Shot Transfer Learning,2022,cvpr
Bridging the Gap Between Classification and Localization for Weakly Supervised Object Localization,2022,cvpr
Multi-Class Token Transformer for Weakly Supervised Semantic Segmentation,2022,cvpr
3D Moments From Near-Duplicate Photos,2022,cvpr
Exact Feature Distribution Matching for Arbitrary Style Transfer and Domain Generalization,2022,cvpr
Blind2Unblind: Self-Supervised Image Denoising With Visible Blind Spots,2022,cvpr
Balanced and Hierarchical Relation Learning for One-Shot Object Detection,2022,cvpr
End-to-End Generative Pretraining for Multimodal Video Captioning,2022,cvpr
Delving Deep Into the Generalization of Vision Transformers Under Distribution Shifts,2022,cvpr
NICE-SLAM: Neural Implicit Scalable Encoding for SLAM,2022,cvpr
HyperDet3D: Learning a Scene-Conditioned 3D Object Detector,2022,cvpr
Stochastic Trajectory Prediction via Motion Indeterminacy Diffusion,2022,cvpr
CLRNet: Cross Layer Refinement Network for Lane Detection,2022,cvpr
Cross-Modal Map Learning for Vision and Language Navigation,2022,cvpr
Motion-Aware Contrastive Video Representation Learning via Foreground-Background Merging,2022,cvpr
Incremental Transformer Structure Enhanced Image Inpainting With Masking Positional Encoding,2022,cvpr
Pointly-Supervised Instance Segmentation,2022,cvpr
Cross-Modal Clinical Graph Transformer for Ophthalmic Report Generation,2022,cvpr
Human-Object Interaction Detection via Disentangled Transformer,2022,cvpr
DINE: Domain Adaptation From Single and Multiple Black-Box Predictors,2022,cvpr
LGT-Net: Indoor Panoramic Room Layout Estimation With Geometry-Aware Transformer Network,2022,cvpr
CRIS: CLIP-Driven Referring Image Segmentation,2022,cvpr
Multi-View Mesh Reconstruction With Neural Deferred Shading,2022,cvpr
CVF-SID: Cyclic Multi-Variate Function for Self-Supervised Image Denoising by Disentangling Noise From Image,2022,cvpr
Infrared Invisible Clothing: Hiding From Infrared Detectors at Multiple Angles in Real World,2022,cvpr
Distribution-Aware Single-Stage Models for Multi-Person 3D Pose Estimation,2022,cvpr
FaceFormer: Speech-Driven 3D Facial Animation With Transformers,2022,cvpr
Exploring Patch-Wise Semantic Relation for Contrastive Learning in Image-to-Image Translation Tasks,2022,cvpr
High-Resolution Face Swapping via Latent Semantics Disentanglement,2022,cvpr
Searching the Deployable Convolution Neural Networks for GPUs,2022,cvpr
